Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Adafruit_5V_Buzzer,1,Buzzer,
"C1, C12, C13, C14, C15, C17, C18, C19, C2, C21, C23, C24, C26, C27, C28, C3, C31, C4, C5, C6",0603,20,100 nF,
"C10, C11, C32",0603,3,2.2 µF,
"C16, C35, C40",0603,3,4.7 µF,
C20,CP_Radial_D5.0mm_P2.00mm,1,220 µF,
C22,1210,1,100 nF,
C25,0603,1,27 pF,
C29,0603,1,620 pF,
"C30, C41, C42, C43, C44",1210,5,10 µF,
"C33, C36, C8",0603,3,10 µF,
C34,0603,1,47 nF,
C37,1206,1,20 µF,
"C39, C9",0603,2,22 µF,
C7,0603,1,1 µF,
"D1, D3, D4, D5, D6, D7",0805,6,LED,
D2,SOT-23-3,1,ESDA5V3L,
"D8, D9",0805,2,D_Schottky,
"IC1, IC2",Diodes_SO-8EP,2,AP7362-33SP-13,
J1,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5.0VOUT,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Charge,
J13,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J14,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
"J2, J3",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART,
J6,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,UART,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J8,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SPI,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3.3VOUT,
"L1, L4",L_Sumida_CDMC6D28_7.25x6.5mm,2,2.2uH,
L2,L_TDK_VLS6045EX_VLS6045AF,1,1 uH,
L3,L_TDK_VLS6045EX_VLS6045AF,1,1uH,
PS1,Texas_VQFN-HR-20_3x2.5mm_P0.5mm_RQQ0011A,1,TPS61288LRQQR,
"R1, R19, R2, R23",0603,4,10 kΩ,
"R10, R11, R18, R5",0603,4,5.1 kΩ,
R12,0603,1,15k,
R13,0603,1,111k,
R14,0603,1,28.7k,
"R15, R20",0603,2,2 kΩ,
R16,0603,1,500k,
R17,0603,1,100k,
"R21, R22",0603,2,100 kΩ,
R24,0603,1,78.7 kΩ,
R26,0603,1,47 kΩ,
R27,0603,1,60K,
R3,0603,1,225 Ω,
R4,0603,1,160 Ω,
"R6, R7, R8, R9",0603,4,110 Ω,
U1,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U10,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,1,MLX90393ELW-ABA-xxx-xx,
U2,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,1,BMI088,
U3,QFN300X300X100-16N,1,H3LIS331DL,
U5,XCVR_SAM-M10Q-00B,1,SAM-M10Q-00B,
U6,SOT-563,1,TPS62A03DRLR,
U7,TFBGA-100_8x8mm_Layout10x10_P0.8mm,1,STM32H723VEHx,
U8,Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,BQ25606RGER,
U9,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1-N4R2,
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520S,
