Designator,Mid X,Mid Y,Rotation,Layer
BZ1,179.5652,-103.715031,270.0,top
C1,154.987,-95.1994,270.0,top
C10,166.099662,-77.545062,90.0,bottom
C11,164.554862,-77.545062,90.0,bottom
C12,161.585749,-77.538649,90.0,bottom
C13,160.117784,-77.5386,90.0,bottom
C14,158.5424,-78.686784,90.0,bottom
C15,157.559163,-83.515304,90.0,bottom
C16,156.0616,-83.501,90.0,bottom
C17,156.8776,-80.1446,90.0,bottom
C18,137.4498,-95.3022,270.0,top
C19,158.5356,-75.2484,90.0,bottom
C2,169.725,-92.9164,90.0,top
C20,181.2164,-80.79445,180.0,top
C21,163.0524,-77.538599,90.0,bottom
C22,189.1816,-104.1156,0.0,top
C23,169.143,-73.4644,270.0,bottom
C24,149.201,-84.8926,0.0,top
C25,193.5329,-91.8302,180.0,bottom
C26,178.613899,-83.9724,180.0,bottom
C27,153.5178,-76.824802,90.0,top
C28,165.1204,-97.405801,90.0,top
C29,191.7724,-89.0142,0.0,top
C3,164.386399,-93.6784,90.0,top
C30,189.1628,-100.869,0.0,top
C31,187.062,-91.312,180.0,top
C32,187.493799,-90.2172,0.0,bottom
C33,152.1542,-70.378,180.0,bottom
C34,148.8522,-71.0284,180.0,bottom
C35,152.089865,-79.354275,180.0,bottom
C36,149.14,-82.06,270.0,top
C37,151.6204,-76.9982,270.0,top
C39,178.884,-89.0434,90.0,top
C4,159.858,-99.7596,180.0,top
C40,182.5624,-88.4846,90.0,top
C41,176.8596,-82.8644,90.0,top
C42,172.8546,-80.7562,270.0,bottom
C43,175.2442,-108.8294,90.0,bottom
C44,171.68,-114.1318,90.0,top
C5,163.2108,-100.8564,0.0,top
C6,168.3988,-100.873,180.0,top
C7,143.684,-71.1118,90.0,bottom
C8,146.6596,-70.105099,270.0,top
C9,178.6647,-85.6858,180.0,bottom
D1,142.3416,-82.134601,270.0,top
D2,186.076,-81.2878,180.0,top
D3,174.037599,-95.2438,180.0,top
D4,174.0376,-93.168999,180.0,top
D5,174.0376,-91.0942,180.0,top
D6,174.0376,-89.0194,180.0,top
D7,144.55,-82.49,270.0,top
D8,143.4858,-74.6696,270.0,top
D9,186.9206,-77.5726,270.0,top
IC1,172.649601,-81.8134,90.0,top
IC2,175.9036,-113.2586,270.0,top
J1,177.0804,-76.183,270.0,top
J10,182.7146,-71.5204,180.0,top
J12,138.5344,-79.8758,270.0,top
J13,159.6306,-70.654,0.0,top
J14,188.647,-103.4676,90.0,bottom
J2,165.7202,-71.5216,180.0,top
J3,174.2546,-71.5448,180.0,top
J4,192.9128,-81.269,90.0,top
J5,149.8422,-111.312,0.0,top
J6,145.9322,-104.5546,0.0,top
J7,163.3042,-111.2888,0.0,top
J8,164.3554,-104.5004,0.0,top
J9,182.7914,-112.856,0.0,top
L1,188.26634,-95.627915,0.0,top
L2,153.8058,-74.3772,180.0,bottom
L3,180.2506,-94.166,180.0,top
L4,184.446099,-85.182001,0.0,bottom
PS1,188.1586,-88.851,180.0,top
R1,165.5328,-113.2814,0.0,bottom
R10,164.2816,-84.173,0.0,bottom
R11,164.2816,-85.667,0.0,bottom
R12,193.5461,-90.3224,180.0,bottom
R13,193.5207,-88.8284,0.0,bottom
R14,191.8052,-87.5066,180.0,top
R15,143.7,-77.6,180.0,top
R16,179.2396,-85.506201,270.0,top
R17,180.7336,-85.5062,90.0,top
R18,191.5682,-82.0998,0.0,bottom
R19,145.7164,-106.6836,180.0,bottom
R2,160.8122,-113.2658,180.0,bottom
R20,143.766,-79.4,180.0,top
R21,149.6468,-78.464601,90.0,bottom
R22,148.1528,-78.4646,270.0,bottom
R23,156.1028,-71.8938,180.0,top
R24,145.312,-81.8204,180.0,bottom
R26,145.2973,-80.323601,180.0,bottom
R27,149.08,-78.715,270.0,top
R3,147.594,-78.6998,90.0,top
R4,146.14,-78.715,90.0,top
R5,191.6862,-80.6288,0.0,bottom
R6,173.963598,-91.0726,0.0,bottom
R7,173.956067,-93.164386,0.0,bottom
R8,173.963599,-89.0822,0.0,bottom
R9,173.912798,-95.199,0.0,bottom
U1,157.5466,-95.7072,0.0,top
U10,167.9892,-97.9836,270.0,top
U2,167.1406,-92.3368,0.0,top
U3,161.4916,-96.0696,180.0,top
U5,146.2664,-93.6846,0.0,top
U6,180.873801,-88.3738,90.0,top
U7,162.035,-79.754,0.0,top
U8,147.6176,-74.4024,0.0,top
U9,141.9452,-92.0278,270.0,bottom
Y1,155.6592,-76.8158,0.0,top
